course_id,course_name,school_name,class_start,class_end,user_count,class_duration_days,video_count,exercise_count,certificate,assignment,video,exam,discussion,article
C_1410156,操作系统(RISC-V),清华大学,2020-02-16T16:00:00.000000,2020-07-31T15:59:59.000000,3238,165,195,69,1.0,0.0,30.0,70.0,0.0,0.0
C_1412527,信息素养通识教程：数字化生存的必修课,中山大学,2020-09-01T16:00:00.000000,2020-12-20T15:59:59.000000,2629,109,60,14,1.0,35.0,35.0,30.0,0.0,0.0
C_1412527,信息素养通识教程：数字化生存的必修课,中山大学,2020-02-17T16:00:00.000000,2020-06-02T15:59:59.000000,2629,105,60,14,1.0,35.0,35.0,30.0,0.0,0.0
C_1428968,区块链和加密数字货币,清华大学,2020-09-29T16:00:00.000000,2020-12-31T15:59:59.000000,23478,92,49,5,0.0,50.0,10.0,40.0,0.0,0.0
C_1428968,区块链和加密数字货币,清华大学,2020-06-16T00:00:00.000000,2020-09-30T15:59:59.000000,23478,106,49,5,0.0,50.0,10.0,40.0,0.0,0.0
C_1429002,高级操作系统,清华大学,2020-02-16T16:00:00.000000,2020-07-31T15:59:59.000000,10545,165,45,0,1.0,0.0,80.0,0.0,0.0,20.0
C_1429102,认知神经科学,南宁师范大学,2020-02-16T16:00:00.000000,2020-07-31T15:59:59.000000,1241,165,12,8,1.0,25.0,45.0,30.0,0.0,0.0
C_1434547,电子设计创新,上海海洋大学,2020-02-19T16:00:00.000000,2020-07-31T15:59:59.000000,2109,162,24,14,0.0,50.0,50.0,0.0,0.0,0.0
C_1434593,运动解剖学,北京体育大学,2020-02-15T16:00:00.000000,2020-07-16T15:59:59.000000,4700,151,58,10,1.0,50.0,20.0,30.0,0.0,0.0
C_1438319,水文学,桂林理工大学,2020-03-01T16:00:00.000000,2020-07-31T15:59:59.000000,403,151,29,8,1.0,40.0,30.0,30.0,0.0,0.0
C_1472684,诊断学,山东大学,2020-09-06T16:00:00.000000,2020-12-31T15:59:59.000000,4585,115,77,14,0.0,40.0,20.0,40.0,0.0,0.0
C_1527362,History of Western Civilization  全英文西方文明史,国际关系学院,2020-03-15T16:00:00.000000,2020-07-31T15:59:59.000000,6437,137,40,40,1.0,30.0,40.0,30.0,0.0,0.0
C_1527433,电路原理,上海海洋大学,2020-01-19T00:00:00.000000,2020-07-30T16:00:00.000000,3307,193,137,73,1.0,80.0,20.0,0.0,0.0,0.0
C_1527465,逻辑学基础理论,清华大学,2020-02-23T16:00:00.000000,2020-08-30T15:59:59.000000,12208,188,79,7,1.0,30.0,30.0,30.0,10.0,0.0
C_1552662,大数据可视化,浙江大学,2020-02-23T16:00:00.000000,2020-07-30T16:00:00.000000,4276,158,57,15,1.0,40.0,20.0,40.0,0.0,0.0
C_1641662,教师职业道德与行为规范,云南师范大学,2020-02-26T16:00:00.000000,2020-07-31T15:59:59.000000,3681,155,40,14,1.0,40.0,30.0,30.0,0.0,0.0
C_1641666,生物与环境,云南大学,2020-02-29T16:00:00.000000,2020-07-31T15:59:59.000000,204,152,46,11,1.0,70.0,30.0,0.0,0.0,0.0
C_1645365,高级健康评估,上海交通大学,2020-03-01T16:00:00.000000,2020-07-30T16:00:00.000000,2591,151,45,10,1.0,50.0,20.0,30.0,0.0,0.0
C_1646044,中国文学与文化,华南理工大学,2020-02-29T16:00:00.000000,2020-07-31T15:59:59.000000,7177,152,33,29,1.0,30.0,60.0,10.0,0.0,0.0
C_1647264,新城市科学,清华大学,2020-03-14T16:00:00.000000,2020-08-30T15:59:59.000000,5604,168,49,12,1.0,60.0,10.0,30.0,0.0,0.0
C_1687717,电工电子学（下）,重庆大学,2020-03-08T16:00:00.000000,2020-06-29T16:00:00.000000,3246,113,59,39,1.0,40.0,40.0,0.0,20.0,0.0
C_1696155,护理评估技术,安徽医学高等专科学校,2020-03-06T16:00:00.000000,2020-07-31T15:59:59.000000,2166,146,21,45,1.0,30.0,35.0,30.0,2.0,3.0
C_1712435,新时代大学生恋爱与婚姻,天津财经大学珠江学院,2020-03-11T16:00:00.000000,2020-07-31T15:59:59.000000,1519,141,44,24,1.0,30.0,40.0,30.0,0.0,0.0
C_1714447,油藏数值模拟,西安石油大学,2020-07-21T16:00:00.000000,2020-12-15T15:59:59.000000,5014,146,23,22,1.0,60.0,10.0,30.0,0.0,0.0
C_1714448,新型冠状病毒肺炎的认识与防控,中国医科大学,2020-03-12T16:00:00.000000,2020-07-31T15:59:59.000000,4081,140,22,21,1.0,30.0,50.0,20.0,0.0,0.0
C_1714449,电路（上）,哈尔滨工业大学,2020-03-12T16:00:00.000000,2020-07-31T15:59:59.000000,1161,140,176,100,1.0,10.0,30.0,50.0,0.0,10.0
C_1718815,人格与精神障碍——学做自己的心理医生,暨南大学,2020-03-15T16:00:00.000000,2020-07-31T15:59:59.000000,6909,137,57,61,1.0,60.0,0.0,40.0,0.0,0.0
C_1724288,大学生需要知道的六件小事儿,保山学院,2020-03-18T16:00:00.000000,2020-07-31T15:59:59.000000,203,134,41,6,1.0,30.0,40.0,20.0,10.0,0.0
C_1724289,管理经济学,承德石油高等专科学校,2020-03-18T16:00:00.000000,2020-07-31T15:59:59.000000,374,134,47,10,1.0,15.0,65.0,20.0,0.0,0.0
C_1731884,数学文化,保山学院,2020-03-23T16:00:00.000000,2020-07-31T15:59:59.000000,1543,129,37,36,1.0,40.0,30.0,30.0,0.0,0.0
C_1731918,Access数据库技术及应用,安徽新华学院,2020-03-23T16:00:00.000000,2020-07-31T15:59:59.000000,556,129,29,29,0.0,35.0,35.0,30.0,0.0,0.0
C_1732839,英语词汇记忆奥秘,重庆大学,2020-03-25T16:00:00.000000,2020-07-30T15:59:59.000000,9235,126,50,25,1.0,80.0,20.0,0.0,0.0,0.0
C_1736024,商务英语翻译（Business English Translation & Interpretation）,西北工业大学,2020-03-27T02:59:04.000000,2020-07-31T15:59:59.000000,1401,126,71,53,1.0,40.0,20.0,40.0,0.0,0.0
C_1737097,小学教师升级宝典,保山学院,2020-03-27T16:00:00.000000,2020-07-31T15:59:59.000000,1674,125,29,12,1.0,40.0,30.0,30.0,0.0,0.0
C_1738818,普惠金融导论,清华大学,2020-05-31T16:00:00.000000,2020-12-31T15:59:59.000000,10064,213,115,12,1.0,30.0,50.0,20.0,0.0,0.0
C_1738959,机械制造实习,清华大学,2020-03-30T16:00:00.000000,2020-08-30T15:59:00.000000,9898,152,42,0,1.0,30.0,30.0,30.0,0.0,10.0
C_1738993,游戏程序设计,清华大学,2020-03-30T16:00:00.000000,2020-08-30T15:59:00.000000,5970,152,97,72,1.0,40.0,60.0,0.0,0.0,0.0
C_1741500,汽车检测与诊断,河北师范大学,2020-01-05T16:00:00.000000,2020-07-31T15:59:59.000000,841,207,59,22,1.0,30.0,30.0,40.0,0.0,0.0
C_1741501,服装图案设计,江西服装学院,2020-03-30T16:00:00.000000,2020-07-31T15:59:59.000000,507,122,33,33,0.0,40.0,30.0,30.0,0.0,0.0
C_1741502,服装表演,江西服装学院,2020-03-30T16:00:00.000000,2020-07-31T15:59:59.000000,297,122,39,23,1.0,70.0,30.0,0.0,0.0,0.0
C_1741511,融合新闻学,中国传媒大学,2020-03-30T16:00:00.000000,2020-07-31T15:59:59.000000,1477,122,38,38,1.0,40.0,40.0,20.0,0.0,0.0
C_1741536,Research Methods in Tourism Studies,南开大学,2020-03-30T16:00:00.000000,2020-07-31T15:59:59.000000,292,122,58,7,1.0,80.0,20.0,0.0,0.0,0.0
C_1741554,影视制作流程（双语）,重庆大学,2020-03-30T16:00:00.000000,2020-07-31T15:59:59.000000,11476,122,53,53,1.0,30.0,30.0,40.0,0.0,0.0
C_1748240,教育定量研究方法（高级）,清华大学,2020-04-05T16:00:00.000000,2020-09-20T15:59:59.000000,5367,167,137,7,1.0,55.0,40.0,5.0,0.0,0.0
C_1750786,英语口语,河北民族师范学院,2020-04-06T16:00:00.000000,2020-07-31T15:59:59.000000,2809,115,32,16,1.0,75.0,15.0,10.0,0.0,0.0
C_1750788,零售药店管理实务,重庆三峡医药高等专科学校,2020-04-06T16:00:00.000000,2020-06-30T15:59:59.000000,593,84,56,47,1.0,40.0,50.0,10.0,0.0,0.0
C_1750789,单片机原理及其应用,重庆大学,2020-04-06T16:00:00.000000,2020-07-31T15:59:59.000000,907,115,81,5,1.0,100.0,0.0,0.0,0.0,0.0
C_1750793,大学生精益创新创业实践,北京体育大学,2020-04-06T16:00:00.000000,2020-07-31T15:59:59.000000,1773,115,36,10,1.0,30.0,60.0,10.0,0.0,0.0
C_1750795,交响音乐赏析,西安交通大学,2020-04-06T16:00:00.000000,2020-07-31T15:59:59.000000,543,115,70,52,1.0,30.0,30.0,40.0,0.0,0.0
C_1750851,电子政务,清华大学,2020-04-12T16:00:00.000000,2020-08-30T15:59:59.000000,3790,139,65,7,1.0,50.0,40.0,10.0,0.0,0.0
C_1755915,English for Professional Graduates,同济大学,2020-04-11T16:00:00.000000,2021-08-31T15:59:59.000000,253,506,47,12,0.0,60.0,40.0,0.0,0.0,0.0
C_1755924,Advanced Medical English,首都医科大学,2020-04-11T16:00:00.000000,2021-08-31T15:59:59.000000,193,506,30,8,0.0,70.0,30.0,0.0,0.0,0.0
C_1755929,Medical Terminology Step by Step,首都医科大学,2020-04-11T16:00:00.000000,2021-08-31T15:59:59.000000,246,506,57,12,0.0,60.0,10.0,30.0,0.0,0.0
C_1755939,Introduction to tax laws of China,北京第二外国语学院,2020-04-11T16:00:00.000000,2021-08-31T15:59:59.000000,92,506,43,8,0.0,100.0,0.0,0.0,0.0,0.0
C_1755941,Introducing China In English,湖北大学,2020-04-11T16:00:00.000000,2021-08-31T15:59:59.000000,293,506,76,14,0.0,75.0,25.0,0.0,0.0,0.0
C_1755944,An Introduction to Chinese Medicine,广州中医药大学,2020-06-10T16:00:00.000000,2021-08-31T15:59:59.000000,116,446,17,17,0.0,60.0,40.0,0.0,0.0,0.0
C_1755946,Advanced Business English,湖北科技学院,2020-04-11T16:00:00.000000,2021-08-31T15:59:59.000000,175,506,62,12,0.0,70.0,30.0,0.0,0.0,0.0
C_1756056,University English for Academic Purposes,清华大学,2020-04-11T16:00:00.000000,2021-06-30T15:59:59.000000,574,444,76,72,0.0,70.0,30.0,0.0,0.0,0.0
C_1756072,Calculus I,华南理工大学,2020-04-11T16:00:00.000000,2021-08-31T15:59:59.000000,88,506,30,21,0.0,65.0,0.0,35.0,0.0,0.0
C_1764844,Zhuangzi's Fables and Their Wisdom,华南理工大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,110,491,60,32,0.0,80.0,20.0,0.0,0.0,0.0
C_1765588,Landscape in the Garden -- the Gardening Art of Chinese Classical Garden,西安工业大学,2020-04-27T16:00:00.000000,2021-08-31T15:59:59.000000,119,490,38,35,0.0,40.0,30.0,30.0,0.0,0.0
C_1765592,Simplified  Acupuncture and Moxibustion,南方医科大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,122,491,37,41,0.0,50.0,20.0,30.0,0.0,0.0
C_1765600,Soil Mechanics,西安交通大学,2020-07-28T16:00:00.000000,2021-08-31T15:59:59.000000,319,398,93,102,0.0,15.0,15.0,70.0,0.0,0.0
C_1766164,International Economic Law,辽宁大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,314,491,40,17,0.0,40.0,30.0,30.0,0.0,0.0
C_1766166,Simultaneous Interpreting,西安交通大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,309,491,31,9,0.0,60.0,20.0,20.0,0.0,0.0
C_1766171,Critical Thinking and Critical Writing,南开大学,2020-04-30T16:00:00.000000,2021-08-31T15:59:59.000000,268,487,82,54,0.0,10.0,60.0,30.0,0.0,0.0
C_1766899,大学物理,燕山大学,2020-05-11T16:00:00.000000,2020-08-31T15:59:00.000000,1137,111,60,23,1.0,30.0,30.0,40.0,0.0,0.0
C_1766899,大学物理,燕山大学,2020-08-31T16:00:00.000000,2020-12-31T15:59:59.000000,1137,121,60,23,1.0,30.0,30.0,40.0,0.0,0.0
C_1767578,Web后端开发技术,河北民族师范学院,2020-04-20T16:00:00.000000,2020-07-31T15:59:59.000000,595,101,86,32,1.0,40.0,30.0,30.0,0.0,0.0
C_1767581,光影中的文本,山西传媒学院,2020-04-20T16:00:00.000000,2020-07-31T15:59:59.000000,222,101,34,30,1.0,70.0,30.0,0.0,0.0,0.0
C_1767588,机械工程控制基础,西南林业大学,2020-04-20T16:00:00.000000,2020-07-31T15:59:59.000000,908,101,37,30,1.0,30.0,20.0,50.0,0.0,0.0
C_1767590,婴儿教育学,毕节幼儿师范高等专科学校,2020-04-20T16:00:00.000000,2020-07-31T15:59:59.000000,583,101,30,8,1.0,45.0,20.0,35.0,0.0,0.0
C_1767591,声乐,运城幼儿师范高等专科学校,2020-04-20T16:00:00.000000,2020-07-31T15:59:59.000000,572,101,21,10,1.0,30.0,30.0,30.0,10.0,0.0
C_1771153,Introduction to C++: Problem Solving Using Computational Thinking,南开大学,2020-04-22T16:00:00.000000,2021-08-31T15:59:59.000000,155,495,56,13,0.0,60.0,20.0,20.0,0.0,0.0
C_1771156,English Public Speaking,西安交通大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,202,491,12,12,0.0,50.0,20.0,30.0,0.0,0.0
C_1771158,English Debate,西安交通大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,138,491,13,13,0.0,50.0,20.0,30.0,0.0,0.0
C_1771159,Economic law,辽宁大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,106,491,49,6,0.0,60.0,10.0,30.0,0.0,0.0
C_1771161,Advanced Comprehensive English Writing,北京化工大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,146,491,56,14,0.0,50.0,50.0,0.0,0.0,0.0
C_1771165,Modern Aesthetics：Mechanism and Laws,西安思源学院,2020-04-28T16:00:00.000000,2021-08-31T15:59:59.000000,74,489,50,50,0.0,80.0,20.0,0.0,0.0,0.0
C_1771167,Ansai Waist,延安大学,2020-06-10T16:00:00.000000,2021-08-31T15:59:59.000000,82,446,32,32,0.0,60.0,40.0,0.0,0.0,0.0
C_1771168,Plant Landscape Planning and Design,华南理工大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,138,491,44,8,0.0,20.0,60.0,20.0,0.0,0.0
C_1771170,Fundamentals of Piano Performance,四川音乐学院,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,229,491,15,12,0.0,70.0,15.0,15.0,0.0,0.0
C_1771177,Chinese Traditional Culture,西安交通大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,209,491,65,22,0.0,40.0,20.0,40.0,0.0,0.0
C_1771543,临床科研实验技能,中南大学,2020-04-23T16:00:00.000000,2020-07-31T15:59:59.000000,1423,98,105,25,0.0,40.0,20.0,40.0,0.0,0.0
C_1771634,Appreciation of Symphonic Music,西安交通大学,2020-04-23T16:00:00.000000,2021-08-31T15:59:59.000000,109,494,70,52,0.0,30.0,30.0,40.0,0.0,0.0
C_1774962,Geriatrics of Traditional Chinese medicine,成都中医药大学,2020-04-29T16:00:00.000000,2021-08-31T15:59:59.000000,87,488,35,24,0.0,40.0,40.0,20.0,0.0,0.0
C_1774963,Acupuncture and moxibustion,成都中医药大学,2020-04-29T16:00:00.000000,2021-08-31T15:59:59.000000,170,488,58,14,0.0,30.0,40.0,30.0,0.0,0.0
C_1774965,Financial English,山东大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,97,491,44,4,0.0,50.0,20.0,30.0,0.0,0.0
C_1774967,Chinese Folk Motif Arts,深圳大学,2020-05-17T16:00:00.000000,2021-08-31T15:59:59.000000,120,470,60,13,0.0,40.0,30.0,30.0,0.0,0.0
C_1774969,Food Microbiology Testing,华南农业大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,846,491,20,8,0.0,75.0,25.0,0.0,0.0,0.0
C_1774971,Food Biochemistry,华南理工大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,192,491,47,63,0.0,50.0,10.0,40.0,0.0,0.0
C_1774972,Traditional Customs and Chinese Arts,南昌大学,2020-04-27T16:00:00.000000,2020-08-15T15:59:59.000000,249,109,109,11,0.0,40.0,30.0,30.0,0.0,0.0
C_1774975,Five Disciplines of Management Quality and Ability —— Follow Me to Learn Management,中南大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,175,491,38,6,0.0,30.0,30.0,40.0,0.0,0.0
C_1774976,Fundamentals of C Programming,西北工业大学,2020-04-28T16:00:00.000000,2021-01-31T15:59:59.000000,323,277,45,13,0.0,100.0,0.0,0.0,0.0,0.0
C_1774985,3ds Max: A Quick Start from Zero to One,昆明理工大学,2020-04-29T16:00:00.000000,2021-08-31T15:59:59.000000,586,488,77,72,0.0,50.0,40.0,10.0,0.0,0.0
C_1774986,A Beginner’s Guide to Etiquette,昆明理工大学,2020-04-26T16:00:00.000000,2021-08-31T15:59:59.000000,131,491,51,60,0.0,35.0,40.0,25.0,0.0,0.0
C_1774987,Academic English for Science and Engineering,昆明理工大学,2020-04-26T16:00:00.000000,2021-08-30T15:59:59.000000,216,490,61,45,0.0,20.0,40.0,30.0,10.0,0.0
C_1776281,舞台服装设计,江西服装学院,2020-04-26T16:00:00.000000,2020-07-31T15:59:59.000000,245,95,42,8,0.0,40.0,30.0,30.0,0.0,0.0
C_1776316,阳明学概论,贵州大学,2020-04-26T16:00:00.000000,2020-07-31T15:59:59.000000,11796,95,50,16,0.0,30.0,40.0,30.0,0.0,0.0
C_1776761,脑科学与影像新技术,西安交通大学,2020-04-26T16:00:00.000000,2020-07-31T15:59:59.000000,1355,95,45,4,1.0,40.0,20.0,40.0,0.0,0.0
C_1777000,设计素描,河南经贸职业学院,2020-04-26T16:00:00.000000,2020-07-31T15:59:00.000000,1272,95,26,30,1.0,35.0,40.0,25.0,0.0,0.0
C_1778415,Low Frequency Electronic Circuit,河北工业大学,2020-04-28T16:00:00.000000,2021-08-31T15:59:59.000000,290,489,53,6,0.0,30.0,40.0,30.0,0.0,0.0
C_1778453,Construction Project Management,河北工业大学,2020-04-28T16:00:00.000000,2021-08-31T15:59:59.000000,71,489,22,31,0.0,40.0,30.0,30.0,0.0,0.0
C_1778560,Chinese Art History,四川音乐学院,2020-05-03T16:00:00.000000,2021-08-31T15:59:59.000000,274,484,39,8,0.0,70.0,30.0,0.0,0.0,0.0
C_1778562,Beverage Culture and Management,南开大学,2020-05-03T16:00:00.000000,2021-05-31T15:59:59.000000,264,392,26,5,0.0,30.0,40.0,30.0,0.0,0.0
C_1778564,Diagnostic Ultrasonography,中国医科大学,2020-05-10T16:00:00.000000,2021-08-31T15:59:59.000000,74,477,13,12,0.0,15.0,50.0,35.0,0.0,0.0
C_1778567,Project Management,长安大学,2020-05-10T16:00:00.000000,2021-08-31T15:59:59.000000,105,477,54,13,0.0,20.0,50.0,30.0,0.0,0.0
C_1778570,Logic and Techniques of Financial Statement Analysis,中国石油大学（北京）,2020-05-24T16:00:00.000000,2021-08-31T15:59:59.000000,96,463,59,10,0.0,60.0,40.0,0.0,0.0,0.0
C_1779421,学术英语写作与沟通,合肥工业大学,2020-05-14T16:00:00.000000,2020-07-30T16:00:00.000000,5444,77,34,30,1.0,40.0,40.0,20.0,0.0,0.0
C_1784706,Software Engineering,东北大学,2020-05-06T16:00:00.000000,2021-08-31T15:59:59.000000,185,481,38,25,0.0,100.0,0.0,0.0,0.0,0.0
C_1784708,Analytical Chemistry,东北大学,2020-05-06T16:00:00.000000,2021-08-31T15:59:59.000000,496,481,61,10,0.0,60.0,40.0,0.0,0.0,0.0
C_1784711,Introduction to Natural Science,西京学院,2020-05-06T16:00:00.000000,2021-08-31T15:59:59.000000,62,481,65,15,0.0,30.0,30.0,30.0,10.0,0.0
C_1784725,Animal Anatomy,中国农业大学,2020-05-06T16:00:00.000000,2021-08-31T15:59:59.000000,83,481,64,55,0.0,70.0,0.0,30.0,0.0,0.0
C_1789684,Guidance for Protection against COVID-19 for Staff and Students in Universities and Colleges,中南大学,2020-05-11T16:00:00.000000,2021-08-31T15:59:59.000000,166,476,7,0,0.0,0.0,30.0,40.0,30.0,0.0
C_1789687,Medical Parasitology & Food Safety,华中科技大学,2020-05-12T16:00:00.000000,2021-08-31T15:59:59.000000,109,475,56,8,0.0,50.0,10.0,40.0,0.0,0.0
C_1792323,道路交通事故处理,中国人民公安大学,2020-05-11T22:00:00.000000,2021-07-30T16:00:00.000000,500,444,64,9,1.0,60.0,40.0,0.0,0.0,0.0
C_1794790,微生物学检验,重庆三峡医药高等专科学校,2020-05-12T16:00:00.000000,2020-07-26T15:59:59.000000,4149,74,75,41,0.0,45.0,10.0,45.0,0.0,0.0
C_1794790,微生物学检验,重庆三峡医药高等专科学校,2020-08-31T16:00:00.000000,2020-12-31T15:59:59.000000,4149,121,75,41,0.0,45.0,10.0,45.0,0.0,0.0
